title|sub_title|level|ranked|genre1|genre2|is_ura|individual|first_play|full_combo|do_jo
天国と地獄 序曲|천국과 지옥 서곡|6|2|7|2|0|0|0|0|0
くらえ！ブットバースト!!|받아라! 부트 버스트!!|6|2|5|2|0|0|0|0|0
ナツモノ☆|나츠모노☆|6|2|8|0|0|0|0|0|0
雨とペトラ|비와 페트라|6|2|4|0|0|0|0|0|0
犬吠える|개짖는 소리|6|2|8|0|0|0|0|0|0
やわらか戦車|말랑말랑 전차|6|2|3|6|0|0|0|0|0
NeGa／Posi* ラブ／コール|NeGa/Posi* 러브/콜|6|2|6|0|0|0|0|0|0
鏡の国のアリス|거울 나라의 앨리스|6|2|8|0|0|0|0|0|0
ONLY MY NOTE||6|2|5|3|0|0|0|0|0
おおブレネリ|오 브레네리|6|2|7|0|0|0|0|0|0
OVER THE TOP||6|2|3|2|0|0|0|0|0
Growing Up||6|3|8|0|0|0|0|0|0
My Mine||6|3|8|0|0|0|0|0|0
Reason!!||6|3|5|3|0|0|0|0|0
魔法をかけて！|마법을 걸어줘|6|3|5|3|1|0|0|0|0
インベーダーインベーダー|인베이더 인베이더|6|3|1|0|0|0|0|0|0
ラブソングはとまらないよ|러브송은 멈추지 않아|6|3|1|0|0|0|0|0|0
名探偵コナン メイン・テーマ|명탐전 코난 메인 테마|6|3|3|2|0|0|0|0|0
時を待とう|때를 기다리자|6|3|2|3|0|0|0|0|0
恋|사랑|6|3|1|0|0|0|0|0|0
香水|향수|6|3|1|0|0|0|0|0|0
きゅんっ！ヴァンパイアガール|두근! 뱀파이어 걸|6|3|5|3|0|0|0|0|0
HOWEVER||6|3|1|0|0|0|0|0|0
天体観測|천체관측|6|5|1|0|0|0|0|0|0
轟!!!|ㄱ!!!|6|5|1|2|0|0|0|0|0
青と夏|푸름과 여름|6|5|1|0|0|0|0|0|0
マーブルハート|마블 하트|6|5|8|0|0|0|0|0|0
ロボットロケンロー☆|로봇로켄로☆|6|5|8|0|0|0|0|0|0
夏祭り|나츠마츠리|6|5|1|0|0|0|0|0|0
エビカニクス|에비카니쿠스|6|5|2|6|0|0|0|0|0
友情ぽっぷ|우정 팝|6|5|8|0|0|0|0|0|0
ALMIGHTY～仮面の約束|ALMIGHTY~가면의 약속|6|5|2|3|0|0|0|0|0
ギンギラ銀河|긴기라 은하|6|5|2|3|0|0|0|0|1
残響|잔향|6|5|4|5|0|0|0|0|0
Shine!!||6|5|5|3|0|0|0|0|0
S(mile)ING!||6|5|5|3|0|0|0|0|0
TOKIMEKIエスカレート|두근두근 에스컬레이트|6|5|5|3|0|0|0|0|0
超時空アドベンチャー|초시공 어드벤처|6|5|8|0|0|0|0|0|0
だから僕は音楽を辞めた|그래서 나는 음악을 그만두었다|6|5|1|0|0|0|0|0|0
おばけのお仕事|귀신의 일|6|5|8|0|0|0|0|0|0
タイムトラベラー|타임 트래블러|6|5|8|0|0|0|0|0|0
高嶺の花子さん|고령의 하나코 씨|6|5|1|0|0|0|0|0|0
雑草|잡초|6|5|1|2|0|0|0|0|0
M@STERPIECE||6|5|5|3|0|0|0|1|0
第九交響曲|제9교향곡|6|5|7|2|0|0|0|0|0
亡き王女のためのパヴァーヌ|죽은 왕녀를 위한 파반느|6|5|7|8|0|0|0|0|0
虹|무지개|6|7|1|2|0|0|0|0|0
Star!!||6|7|5|3|0|0|0|0|0
ヒーリングっど♥プリキュア Touch!!|힐링굿♥프리큐어 Touch!!|6|7|2|3|0|0|0|0|0
キミと響くハーモニー|너와 울리는 하모니|6|7|8|0|0|0|0|0|0
全力全開！ゼンカイジャー|전력전개! 젠카이저|6|7|2|0|0|0|0|0|0
ミツボシ☆☆★|세 개의 별☆☆★|6|7|5|3|0|0|0|0|0
虹色・夢色・太鼓色|무지개색·꿈색·태고색|6|7|8|0|0|0|0|0|0
Tulip||6|7|5|3|0|0|0|0|0
紅蓮華|홍련화|6|7|3|2|0|0|0|0|0
君をのせて|너를 태우고|6|7|2|3|0|0|0|0|0
マリーゴールド|마리골드|6|7|1|0|0|0|0|0|0
ハロー！どんちゃん|안녕! 동짱|6|7|8|0|0|0|0|0|0
RPG||6|8|1|0|0|0|0|0|0
見たこともない景色|본 적도 없는 경치|6|8|1|0|0|0|0|0|0
ハッピーウェディング前ソング|해피웨딩을 앞둔 노래|6|8|1|0|0|0|0|0|0
乙女解剖|소녀해부|6|8|4|0|0|0|0|0|0
GOIN’!!!||6|8|5|3|0|0|0|0|0
ハルウタ|봄 노래|6|8|2|3|0|0|0|0|0
どこまでも|How Far I'll Go|6|8|2|3|0|0|0|0|0
