title|sub_title|level|ranked|genre1|genre2|is_ura|individual|first_play|full_combo|do_jo
天ノ弱|천성룡의 약함|8|2|4|0|0|0|0|0|0
撥条少女時計|태엽 소녀 시계|8|2|4|0|0|0|0|0|0
華蕾夢ミル狂詩曲～魂ノ導～|꽃봉오리 꿈꾸는 광시곡 ~혼의 이끌림~|8|2|5|3|0|0|0|0|0
The Magician's Dream||8|2|8|0|0|0|0|0|0
指先からはじまる物語|손끝부터 시작하는 이야기|8|2|5|0|0|0|0|0|0
うそうそ時|어둑어둑 할 때|8|2|8|0|0|0|0|0|0
Hello, Morning||8|2|1|0|1|0|0|0|0
Blue Rose Ruin||8|2|8|0|0|0|0|0|0
太鼓乱舞 皆伝【達人】|태고난무 개전 [달인]|8|2|8|0|0|0|0|0|0
Silent Jealousy||8|2|1|0|0|0|0|0|0
東京テディベア|도쿄 테디베어|8|2|4|0|0|0|0|0|0
ナイトメア・サバイバー|나이트메어 서바이버|8|2|8|0|0|0|0|0|0
月下美人【達人】|월하미인 [달인]|8|2|8|0|0|0|0|0|0
どん子のファーストデート|돈코의 퍼스트 데이트|8|2|8|0|1|0|0|0|0
ピコピコ マッピー|피코피코 마피|8|2|5|0|0|1|0|0|0
オレサマパイレーツ|오레사마 파이렛|8|2|8|0|0|1|0|0|0
がしゃどくろ|가샤도쿠로|8|2|8|0|0|1|0|0|0
サタデー太鼓フィーバー|새터데이 태고 피버|8|2|8|0|1|0|0|1|0
アレキサンダーのテーマ|알렉산더의 테마|8|2|8|0|0|1|0|1|0
時空庁捜査2課|시공청 수사2과|8|2|8|0|0|0|0|0|0
ぷるぷるしんぷる|탱글탱글 심플|8|2|8|0|0|1|0|0|0
ロストワンの号哭|ㅁㅈㅏㄱㅗㅎ묵뽓|8|2|4|0|0|0|0|0|0
あまてらすJK|아마테라스JK|8|2|8|0|0|0|0|0|0
化物月夜|도깨비 달밤|8|2|8|0|0|0|0|0|0
テルミービート|TELL ME BEAT|8|2|4|8|0|0|0|0|0
傾奇者、罷り通る！|가부키모노, 버젓이 지나가다!|8|2|8|0|0|0|0|0|0
紅|쿠레나이|8|3|1|0|0|0|0|0|0
Rotter Tarmination||8|3|8|0|0|0|0|0|0
ネテモネテモ|자도 자도|8|3|8|0|0|0|0|0|0
グレート！アニマルカイザー!!|그레이트! 애니멀 카이져!!|8|3|5|2|0|0|0|0|0
らんぶる乱舞|럼블 난무|8|3|8|0|1|0|0|0|0
Dr.WILY STAGE 1||8|3|5|0|0|0|0|0|0
Eternal bond||8|3|4|0|0|0|0|0|0
筋肉のような僕ら ～マッスル愛のテーマ～|근육같은 우리들|8|3|5|0|0|0|0|0|0
カゲロウデイズ|아지랑이 데이즈|8|3|4|0|1|0|0|0|0
久遠の夜|구원의 밤|8|3|8|0|0|0|0|0|0
ドドンガド～ン|도동가도~옹|8|3|8|0|0|0|0|0|0
桜花爛漫【達人】|앵화난만 [달인]|8|3|8|0|0|0|0|0|0
月下美人【玄人】|월하미인 [현인]|8|3|8|0|0|0|0|0|0
White Rose Insanity||8|3|8|0|1|1|1|0|0
だから僕は音楽を辞めた|그래서 나는 음악을 그만두었다|8|3|1|0|1|0|0|0|0
東京特許キョ許可局局長!!|도쿄 특허쿄 허가국 국장!!|8|3|8|0|0|0|0|0|0
Brand New Theater!||8|3|5|0|0|0|0|0|0
てんびん座急行 夜を行く|천칭자리 급행 밤을 가다|8|3|8|0|0|0|0|0|0
雨とペトラ|비와 페트라|8|3|4|0|1|0|0|0|0
LOVE戦!!|LOVE전!!|8|3|8|0|0|0|0|0|0
春竜 ～Haryu～|춘룡|8|3|8|0|0|0|0|0|0
NeGa/Posi* ラブ/コール|NeGa/Posi* 러브/콜|8|3|6|0|1|0|0|0|0
黄泉のイザナミ|황천의 이자나미|8|3|8|0|0|0|0|0|0
春遊 ～happy excursion～|춘유|8|3|8|0|1|0|0|0|0
Over Clock ～開放～|Over Clock ~개방~|8|3|5|0|0|0|0|0|0
カラメルタイム★|캐러멜 타임★|8|3|8|0|0|0|0|0|0
恋幻想(Love Fantasy)|사랑 환상|8|3|8|0|0|0|0|0|0
M.S.S.Planet||8|3|4|0|0|0|0|0|0
カッティアワールの宝剣|카티아르의 보검|8|3|8|0|0|0|0|0|0
星屑とリニアと僕|별빛과 리니어와 나|8|3|8|0|0|0|0|0|0
蝶戀 ～Obsession～|접련|8|3|8|0|1|0|0|0|0
エリンギのエクボ|느타리리 보조개|8|3|8|0|0|0|0|0|0
D絶対！SAMURAIインザレイン|SAMURAI 인 더 레인|8|3|6|0|0|0|0|0|0
轟け！太鼓の達人|울려 퍼져라! 태고의 달인|8|3|8|0|0|0|0|0|0
ファミレスウォーズ|패밀리 레스토랑 워즈|8|3|8|0|0|0|0|0|0
The Windmill Song||8|3|5|0|0|1|0|1|0
クラシックメドレー(ロック編)|클래식 메들리 (록 편)|8|4|7|8|0|0|0|0|0
EAT'EM UP!||8|4|5|0|0|0|0|0|0
ザストゥールの魔導書|저스톨의 마도서|8|4|8|0|0|0|0|0|0
